IM,EQRecord,MaxDrift,MaxAbsAccel,MaxRelativeAccel,ResDrift,Iffinish,tCurrent,TotalTime
0.020000000000000004,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00013101],[0.054544 0.122229],[0.       0.111873],3.42368e-07,1.0,79.49999999999976,79.45
0.05,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00032751],[0.13636  0.305572],[0.       0.279682],8.559189999999999e-07,1.0,79.49999999999976,79.45
0.1,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00065503],[0.27272  0.611144],[0.       0.559365],1.7118400000000003e-06,1.0,79.49999999999976,79.45
0.15000000000000002,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00098254],[0.40908  0.916716],[0.       0.839047],2.56776e-06,1.0,79.49999999999976,79.45
0.2,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00131005],[0.54544 1.22229],[0.      1.11873],3.4236800000000007e-06,1.0,79.49999999999976,79.45
0.30000000000000004,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00196508],[0.81816 1.83343],[0.      1.67809],5.13552e-06,1.0,79.49999999999976,79.45
0.4,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0026201],[1.09088 2.44458],[0.      2.23746],6.847360000000001e-06,1.0,79.49999999999976,79.45
0.5,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00378572],[1.3636  2.85148],[0.      2.79682],0.00067983,1.0,79.49999999999976,79.45
0.6000000000000001,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00511302],[1.63632 3.01497],[0.      3.18889],0.000476511,1.0,79.49999999999976,79.45
1.0,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0122849],[2.7272  3.90446],[0.      4.03125],0.00387818,1.0,79.49999999999976,79.45
2.0,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0379483],[5.4544  5.52714],[0.      8.53878],0.00297756,1.0,79.49999999999976,79.45
0.020000000000000004,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00015329],[0.0712722 0.152304 ],[0.       0.115479],6.32384e-07,1.0,36.40000000000025,36.385
0.05,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00038323],[0.17818  0.380761],[0.       0.288698],1.58096e-06,1.0,36.40000000000025,36.385
0.1,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00076647],[0.356361 0.761521],[0.       0.577397],3.16192e-06,1.0,36.40000000000025,36.385
0.15000000000000002,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0011497],[0.534541 1.14228 ],[0.       0.866095],4.74288e-06,1.0,36.40000000000025,36.385
0.2,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00153293],[0.712722 1.52304 ],[0.      1.15479],6.32384e-06,1.0,36.40000000000025,36.385
0.30000000000000004,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0022994],[1.06908 2.28456],[0.      1.73219],9.48576e-06,1.0,36.40000000000025,36.385
0.4,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00321211],[1.42544 2.98759],[0.      2.30959],8.34557e-05,1.0,36.40000000000025,36.385
0.5,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00531307],[1.7818  3.21531],[0.      2.88698],0.00132171,1.0,36.40000000000025,36.385
0.6000000000000001,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00738657],[2.13817 3.51836],[0.      3.01499],0.00144892,1.0,36.40000000000025,36.385
1.0,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0103987],[3.56361 3.78563],[0.      4.94906],0.00195408,1.0,36.40000000000025,36.385
2.0,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0474889],[7.12722 5.84794],[ 0.     10.3921],0.00595523,1.0,36.40000000000025,36.385
0.020000000000000004,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00018334],[0.075514 0.177908],[0.       0.160377],6.8298e-08,1.0,100.19999999999858,100.15
0.05,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00045834],[0.188785 0.444771],[0.       0.400942],1.70745e-07,1.0,100.19999999999858,100.15
0.1,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00091669],[0.37757  0.889541],[0.       0.801885],3.4149e-07,1.0,100.19999999999858,100.15
0.15000000000000002,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00137503],[0.566355 1.33431 ],[0.      1.20283],5.122350000000001e-07,1.0,100.19999999999858,100.15
0.2,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00183338],[0.75514 1.77908],[0.      1.60377],6.8298e-07,1.0,100.19999999999858,100.15
0.30000000000000004,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00275007],[1.13271 2.66862],[0.      2.40565],1.0244700000000001e-06,1.0,100.19999999999858,100.15
0.4,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00485922],[1.51028 3.08118],[0.      2.73055],0.0007158310000000001,1.0,100.19999999999858,100.15
0.5,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00720255],[1.88785 3.37741],[0.      3.09568],0.00152633,1.0,100.19999999999858,100.15
0.6000000000000001,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00798518],[2.26542 3.50775],[0.      3.18287],0.00147557,1.0,100.19999999999858,100.15
1.0,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0246529],[3.7757  4.33608],[0.      5.17883],0.00295148,1.0,100.19999999999858,100.15
2.0,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0917594],[7.5514  7.71935],[ 0.     12.7989],0.0260443,1.0,100.19999999999858,100.15
0.020000000000000004,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[7.40166e-05],[0.0514    0.0724564],[0.        0.0970592],1.2399200000000002e-07,1.0,39.100000000000286,39.075
0.05,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.00018504],[0.1285   0.181141],[0.       0.242648],3.09981e-07,1.0,39.100000000000286,39.075
0.1,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.00037008],[0.257    0.362282],[0.       0.485296],6.19962e-07,1.0,39.100000000000286,39.075
0.15000000000000002,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.00055512],[0.3855   0.543423],[0.       0.727944],9.29943e-07,1.0,39.100000000000286,39.075
0.2,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.00074017],[0.514    0.724564],[0.       0.970592],1.2399200000000001e-06,1.0,39.100000000000286,39.075
0.30000000000000004,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.00111025],[0.771   1.08685],[0.      1.45589],1.8598900000000001e-06,1.0,39.100000000000286,39.075
0.4,D:/RegionalResilience-master/RegionalResilience-master/assessment/EQData/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.00148033],[1.028   1.44913],[0.      1.94118],2.47985e-06,1.0,39.100000000000286,39.075
